"","yr","site","meancoral","sst_min","sst_max","sst_min_lag1","sst_max_lag1"
"1",1994,"sp",2.54901815325016,26.39505,28.46613,27.01267,29.59691
"2",1995,"sp",2.69469724558244,26.70858,29.04502,26.39505,28.46613
"3",1996,"coc",0.3016018364057,26.27527,28.16124,26.70858,29.04502
"4",1996,"sp",2.96891035737372,26.27527,28.16124,26.70858,29.04502
"5",1997,"coc",0.108589059514163,26.50005,29.62383,26.27527,28.16124
"6",1997,"sp",2.90382480906903,26.50005,29.62383,26.27527,28.16124
"7",1998,"coc",0.364448296897956,26.58926,30.03552,26.50005,29.62383
"8",1998,"sp",2.1928319833788,26.58926,30.03552,26.50005,29.62383
"9",2001,"coc",-0.350014196420347,25.45572,28.61774,25.51558,28.93336
"10",2001,"sp",2.54036393953916,25.45572,28.61774,25.51558,28.93336
"11",2002,"coc",0.409345307744243,26.71821,28.54825,25.45572,28.61774
"12",2002,"sp",3.59783564641685,26.71821,28.54825,25.45572,28.61774
"13",2006,"coc",0.189453114467928,26.17822,29.16176,26.60618,29.582
"14",2006,"gol",-0.64024522881796,26.17822,29.16176,26.60618,29.582
"15",2006,"lara",0.851932125251744,26.17822,29.16176,26.60618,29.582
"16",2006,"mm",0.72045381010228,26.17822,29.16176,26.60618,29.582
"17",2006,"pel",0.204042996648494,26.17822,29.16176,26.60618,29.582
"18",2006,"sp",3.31734289042679,26.17822,29.16176,26.60618,29.582
"19",2007,"coc",0.255881887135681,26.60548,28.82456,26.17822,29.16176
"20",2007,"gol",1.19245369130534,26.60548,28.82456,26.17822,29.16176
"21",2007,"sp",2.32506187070049,26.60548,28.82456,26.17822,29.16176
"22",2008,"coc",-0.265649922205256,26.4659,29.11281,26.60548,28.82456
"23",2008,"gol",-0.0332315868986869,26.4659,29.11281,26.60548,28.82456
"24",2008,"mm",0.434671768523251,26.4659,29.11281,26.60548,28.82456
"25",2008,"pel",0.135606973198305,26.4659,29.11281,26.60548,28.82456
"26",2008,"sp",4.64600000550354,26.4659,29.11281,26.60548,28.82456
"27",2009,"coc",-3.23899319083162,25.43505,29.20828,26.4659,29.11281
"28",2009,"gol",-3.58242178152824,25.43505,29.20828,26.4659,29.11281
"29",2009,"lara",-5.27816449574879,25.43505,29.20828,26.4659,29.11281
"30",2009,"mm",-8.10477137243747,25.43505,29.20828,26.4659,29.11281
"31",2009,"pel",-2.61758949379749,25.43505,29.20828,26.4659,29.11281
"32",2009,"sp",-8.6134206620589,25.43505,29.20828,26.4659,29.11281
"33",2017,"coc",-4.55771824921883,26.35627,30.16648,26.88534,29.52672
"34",2017,"gol",-5.31326681022913,26.35627,30.16648,26.88534,29.52672
"35",2017,"lara",-3.48362600247134,26.35627,30.16648,26.88534,29.52672
"36",2017,"mm",-6.50304122450117,26.35627,30.16648,26.88534,29.52672
"37",2017,"pel",-5.87593747025384,26.35627,30.16648,26.88534,29.52672
"38",2017,"sp",-6.76326106398,26.35627,30.16648,26.88534,29.52672
"39",2018,"coc",-6.76205135145293,25.9883,29.42371,26.35627,30.16648
"40",2018,"gol",-6.01220633510719,25.9883,29.42371,26.35627,30.16648
"41",2018,"lara",-5.80808524490192,25.9883,29.42371,26.35627,30.16648
"42",2018,"mm",-7.76855275775521,25.9883,29.42371,26.35627,30.16648
"43",2018,"pel",-1.37494691146653,25.9883,29.42371,26.35627,30.16648
"44",2018,"sp",-5.21439901138693,25.9883,29.42371,26.35627,30.16648
"45",2019,"coc",-4.64520288496656,NA,NA,25.9883,29.42371
"46",2019,"gol",-4.57001450288713,NA,NA,25.9883,29.42371
"47",2019,"lara",-3.70682150029272,NA,NA,25.9883,29.42371
"48",2019,"mm",-6.51010875613168,NA,NA,25.9883,29.42371
"49",2019,"pel",-7.02700181932681,NA,NA,25.9883,29.42371
"50",2019,"sp",-6.51753269723122,NA,NA,25.9883,29.42371
